Date,Name,Year,Letterboxd URI,Rating
2020-08-07,inception,2010,https://boxd.it/1skk,8.0
2020-08-07,joker-2019,2019,https://boxd.it/h4cS,7.0
2020-08-07,fight-club,1999,https://boxd.it/2a9q,7.0
2020-08-07,spirited-away,2001,https://boxd.it/2b4m,5.0
2020-08-07,inglourious-basterds,2009,https://boxd.it/1JzG,8.0
2020-08-07,the-silence-of-the-lambs,1991,https://boxd.it/2aHW,8.0
2020-08-07,baby-driver,2017,https://boxd.it/bhF2,6.0
2020-08-07,1917,2019,https://boxd.it/jj4y,8.0
2020-08-07,django-unchained,2012,https://boxd.it/2cCk,10.0
2020-08-07,arrival-2016,2016,https://boxd.it/aNGk,7.0
2020-08-07,back-to-the-future,1985,https://boxd.it/2b8e,7.0
2020-08-07,avengers-endgame,2019,https://boxd.it/9vE4,9.0
2020-08-07,shutter-island,2010,https://boxd.it/1U82,10.0
2020-08-07,forrest-gump,1994,https://boxd.it/728,6.0
2020-08-07,the-empire-strikes-back,1980,https://boxd.it/27Vw,8.0
2020-08-07,the-breakfast-club,1985,https://boxd.it/27q4,7.0
2020-08-07,the-dark-knight-rises,2012,https://boxd.it/H3m,5.0
2020-08-07,howls-moving-castle,2004,https://boxd.it/23De,5.0
2020-08-07,schindlers-list,1993,https://boxd.it/2aq2,7.0
2020-08-07,harry-potter-and-the-prisoner-of-azkaban,2004,https://boxd.it/29Qy,8.0
2020-08-07,titanic-1997,1997,https://boxd.it/2a2k,6.0
2020-08-07,batman-begins,2005,https://boxd.it/2aIg,7.0
2020-08-07,the-perks-of-being-a-wallflower,2012,https://boxd.it/2ZA8,8.0
2020-08-07,kill-bill-vol-1,2003,https://boxd.it/70w,6.0
2020-08-07,star-wars-the-last-jedi,2017,https://boxd.it/5xme,4.0
2020-08-07,deadpool,2016,https://boxd.it/9fOC,7.0
2020-08-07,spider-man-homecoming,2017,https://boxd.it/aboM,7.0
2020-08-07,the-avengers-2012,2012,https://boxd.it/1xFW,8.0
2020-08-07,logan-2017,2017,https://boxd.it/7Piy,7.0
2020-08-07,star-wars-the-rise-of-skywalker,2019,https://boxd.it/5xlK,2.0
2020-08-07,spider-man-far-from-home,2019,https://boxd.it/fegG,7.0
2020-08-07,alien,1979,https://boxd.it/2awY,5.0
2020-08-07,the-hateful-eight,2015,https://boxd.it/8gw8,7.0
2020-08-07,iron-man-2008,2008,https://boxd.it/28dA,6.0
2020-08-07,the-incredibles,2004,https://boxd.it/1XLm,6.0
2020-08-07,toy-story-4,2019,https://boxd.it/9ALu,7.0
2020-08-07,kingsman-the-secret-service,2014,https://boxd.it/6dxe,9.0
2020-08-07,pans-labyrinth,2006,https://boxd.it/28No,5.0
2020-08-07,harry-potter-and-the-philosophers-stone,2001,https://boxd.it/29QS,6.0
2020-08-07,kill-bill-vol-2,2004,https://boxd.it/2au4,7.0
2020-08-07,toy-story-3,2010,https://boxd.it/1WRe,6.0
2020-08-07,ready-player-one,2018,https://boxd.it/aZes,4.0
2020-08-07,raiders-of-the-lost-ark,1981,https://boxd.it/2bbs,6.0
