Movie Title,Recommender rating,Training data average rating,Raw sim score,Training data number of ratings
judgment-at-nuremberg,4.25,4.05,5.1967,44
sherlock-his-last-vow,4.14,3.62,4.7122407,37
doctor-who-deep-breath,4.14,3.43,4.711551,21
family-guy-presents-its-a-trap,4.12,2.75,4.612077,42
the-tigger-movie,4.11,2.94,4.560446,54
red-2,4.06,2.48,4.325008,64
fun-with-dick-and-jane-1996,4.04,2.6,4.268218,69
paperman,4.04,3.88,4.2583127,63
all-star-superman,4.03,3.45,4.1907206,19
lethal-weapon-4,4.03,2.8,4.1878967,64
jersey-girl-2004,4.02,2.71,4.178505,45
rbg,4.02,3.38,4.144777,41
my-name-is-khan,4.01,3.07,4.1083794,23
land-of-the-lost,4.01,2.18,4.0943737,70
one-man-band,4.0,3.29,4.088438,55
an-extremely-goofy-movie,4.0,2.91,4.0793457,62
boxing-helena,4.0,2.47,4.065041,16
muppets-from-space,4.0,2.87,4.0572,42
star-trek-v-the-final-frontier,4.0,2.37,4.0468817,63
self-less,3.99,2.39,4.042921,44
elizabeth,3.99,3.26,4.02583,49
the-last-dance-2020,3.99,4.21,4.024927,56
ray-2004,3.99,3.3,4.016304,62
fullmetal-alchemist-brotherhood,3.99,4.25,4.004823,54
pride-and-prejudice-and-zombies,3.99,2.4,4.002505,51
the-science-of-sleep,3.97,3.26,3.9504423,44
body-of-lies,3.96,3.03,3.9084,61
tour-de-pharmacy,3.96,3.52,3.9078097,57
the-look-of-silence,3.96,4.19,3.8778536,56
crimson-tide,3.96,3.66,3.868204,58
magnum-opus-2022,3.95,3.27,3.8634923,33
amistad,3.95,3.3,3.8581781,62
south-park-imaginationland,3.95,3.62,3.8536222,33
mystery-men,3.95,3.01,3.8508563,70
love-death-robots-the-dump,3.95,2.38,3.848318,62
monster-truck-mater,3.95,2.21,3.8369005,14
double-king,3.94,3.91,3.8134513,17
the-perfect-storm,3.94,2.92,3.7966366,52
love-death-robots-three-robots,3.94,3.43,3.7851768,59
seabiscuit,3.94,2.75,3.7811217,30
shes-out-of-my-league,3.93,2.58,3.7700143,63
headhunters,3.93,3.48,3.7620516,50
doctor-who-planet-of-the-dead,3.93,2.98,3.7523947,21
of-mice-and-men-1992,3.93,3.15,3.7391653,55
transporter-3,3.92,2.32,3.724203,49
the-wrong-man,3.92,3.64,3.71669,43
death-to-2020,3.92,2.48,3.7116709,66
reign-of-fire,3.92,2.78,3.6956048,63
monsters-ball,3.92,3.03,3.6904364,44
sherlock-the-empty-hearse-2013,3.91,3.71,3.6860368,19
the-great-muppet-caper,3.91,3.61,3.6840181,61
dave-chappelle-sticks-stones,3.91,3.16,3.671544,48
game-of-thrones-conquest-rebellion-an-animated-history-of-the-seven-kingdoms,3.91,3.5,3.6674755,14
the-big-chill,3.91,3.19,3.6656842,59
the-natural,3.91,3.29,3.6549141,38
a-futile-and-stupid-gesture,3.91,2.87,3.6513996,68
mikes-new-car,3.91,3.21,3.6464581,63
lethal-weapon-3,3.91,2.98,3.6430888,65
chaplin,3.9,3.49,3.639141,46
the-monuments-men,3.9,2.47,3.6359248,70
the-wife-2017,3.9,3.21,3.6269493,58
program,3.9,3.32,3.6139073,11
love-death-robots-helping-hand,3.9,2.97,3.607573,39
graveyard-rats,3.9,3.08,3.605932,56
kung-pow-enter-the-fist,3.89,3.08,3.5943933,61
the-doors,3.89,3.34,3.5931656,68
