Original_name,Name_no_punctuation,Name_with_date
Inception,inception,inception
Joker,joker,joker-2019
Fight Club,fight-club,fight-club
Spirited Away,spirited-away,spirited-away
Inglourious Basterds,inglourious-basterds,inglourious-basterds
The Silence of the Lambs,the-silence-of-the-lambs,the-silence-of-the-lambs
Baby Driver,baby-driver,baby-driver
1917,1917,1917
Django Unchained,django-unchained,django-unchained
Arrival,arrival,arrival-2016
Back to the Future,back-to-the-future,back-to-the-future
Avengers: Endgame,avengers-endgame,avengers-endgame
Shutter Island,shutter-island,shutter-island
Forrest Gump,forrest-gump,forrest-gump
The Empire Strikes Back,the-empire-strikes-back,the-empire-strikes-back
The Breakfast Club,the-breakfast-club,the-breakfast-club
The Dark Knight Rises,the-dark-knight-rises,the-dark-knight-rises
Howl's Moving Castle,howls-moving-castle,howls-moving-castle
Schindler's List,schindlers-list,schindlers-list
Harry Potter and the Prisoner of Azkaban,harry-potter-and-the-prisoner-of-azkaban,harry-potter-and-the-prisoner-of-azkaban
Titanic,titanic,titanic-1997
Batman Begins,batman-begins,batman-begins
The Perks of Being a Wallflower,the-perks-of-being-a-wallflower,the-perks-of-being-a-wallflower
Kill Bill: Vol. 1,kill-bill-vol-1,kill-bill-vol-1
Star Wars: The Last Jedi,star-wars-the-last-jedi,star-wars-the-last-jedi
Deadpool,deadpool,deadpool
Spider-Man: Homecoming,spider-man-homecoming,spider-man-homecoming
The Avengers,the-avengers,the-avengers-2012
Logan,logan,logan-2017
Star Wars: The Rise of Skywalker,star-wars-the-rise-of-skywalker,star-wars-the-rise-of-skywalker
Spider-Man: Far From Home,spider-man-far-from-home,spider-man-far-from-home
Alien,alien,alien
The Hateful Eight,the-hateful-eight,the-hateful-eight
Iron Man,iron-man,iron-man-2008
The Incredibles,the-incredibles,the-incredibles
Toy Story 4,toy-story-4,toy-story-4
Kingsman: The Secret Service,kingsman-the-secret-service,kingsman-the-secret-service
Pan's Labyrinth,pans-labyrinth,pans-labyrinth
Harry Potter and the Philosopher's Stone,harry-potter-and-the-philosophers-stone,harry-potter-and-the-philosophers-stone
Kill Bill: Vol. 2,kill-bill-vol-2,kill-bill-vol-2
Toy Story 3,toy-story-3,toy-story-3
Ready Player One,ready-player-one,ready-player-one
